Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Darren Bowen","MIN",0,0,0,5.5525,1,1,0,0,,3.7549,16,4,3,2,1,2,0,0,3,6.07721,4.14466,1.46628,1.4945,0.155725,0.106204,0.049520596861839294,0.266507,1.48036,0.285988,0.646315,,,5.50302,-0.00708022,-0.0647355,999,,,,,,,5.086286306381227,1.3545717571684726,5.774517774581909,1.5378604776735743,,,,,,,,,,,,,,,,,,,"Darren Bowen","sa3020945",804539
"T.J. McFarland","ATH",2,2,0,4.56968,38,0,0,3,,38,166,40,21,19,4,14,,2,27,6.40476,3.22119,1.98833,0.976045,0.164455,0.0827102,0.08174455910921097,0.267725,1.40844,0.303523,0.679506,,,4.30424,-0.00708437,-0.133658,999,,,,,,,146,3.8421052631578947,156,4.105263157894737,,,,,,,,,,,,,,,,,,,"T.J. McFarland","3237",519008
"Andrew Bellatti",,0,0,0,4.58835,1,0,0,0,,0.912193,4,1,1,0,0,1,0,0,1,9.26443,5.14723,1.79989,1.43867,0.21215,0.117868,0.09428156167268753,0.235518,1.56665,0.275142,0.751994,,,5.07134,-0.00709365,-0.0552627,999,,,,,,,3.1502259969711317,3.45346546738531,3.56096351146698,3.9037404076070303,,,,,,,,,,,,,,,,,,,"Andrew Bellatti","10657",571479
"Andrew Baker","PHI",0,0,0,4.79041,1,0,0,0,,1.11695,5,1,1,1,0,1,0,0,1,9.42109,6.08849,1.54736,1.21741,0.221789,0.143334,0.07845529913902283,0.238569,1.62701,0.290933,0.727346,,,5.03795,-0.0070995,-0.0406717,999,,,,,,,4.665404677391052,4.176927320585974,4.584732890129089,4.104702033496104,,,,,,,,,,,,,,,,,,,"Andrew Baker","sa3017196",687900
"Cody Bolton","CLE",1,1,0,4.16569,20,0,0,1,,20,90,19,10,9,3,8,,1,19,8.67373,3.85038,2.2527,1.16319,0.211554,0.0939116,0.11764279752969742,0.241424,1.41239,0.286524,0.736411,,,4.29232,-0.00714145,-0.0296359,999,,,,,,,76.69999999999999,3.8349999999999995,76,3.8,,,,,,,,,,,,,,,,,,,"Cody Bolton","23265",675989
"Fineas Del Bonta-Smith","PIT",0,0,0,4.94454,1,0,0,0,,1.40219,6,1,1,1,0,1,0,0,1,7.26061,3.87782,1.87234,1.29534,0.179784,0.0960211,0.08376334607601166,0.263053,1.48499,0.297781,0.689473,,,4.86401,-0.00720518,-0.0241098,999,,,,,,,6.77622606754303,4.83259256047531,6.010963559150696,4.286831266798697,,,,,,,,,,,,,,,,,,,"Fineas Del Bonta-Smith","sa3010821",687486
"Tayler Saucedo","SEA",2,2,0,3.87377,32,0,0,0,,32,141,29,15,14,3,14,,2,30,8.43199,3.93214,2.14438,0.960843,0.215102,0.10031,0.11479214578866959,0.233224,1.33957,0.281565,0.730573,,,4.07725,-0.00720571,-0.0420684,999,,,,,,,136.5,4.265625,133,4.15625,,,,,,,,,,,,,,,,,,,"Tayler Saucedo","17888",642048
"Fidel Ulloa","COL",0,0,0,5.44782,1,0,0,0,,1.30816,6,1,1,1,0,1,0,0,1,6.98468,4.13693,1.68837,1.37127,0.179398,0.106255,0.07314299046993256,0.27085,1.49364,0.305153,0.650228,,,5.12046,-0.00723636,-0.0197937,999,,,,,,,6.080395960807801,4.648046453073293,5.540808081626892,4.235568459187026,,,,,,,,,,,,,,,,,,,"Fidel Ulloa","sa3025235",801842
"Hyun-Seok Jang","LAD",0,0,0,5.27902,1,1,0,0,,2.5549,12,2,2,1,0,2,0,0,2,8.76947,6.08523,1.44111,1.56276,0.211443,0.146722,0.06472042202949524,0.234961,1.58637,0.270215,0.704043,,,5.67787,-0.00724245,-0.0419475,999,,,,,,,11.706287717819215,4.581889919627983,10.774518728256226,4.217191644341106,,,,,,,,,,,,,,,,,,,"Hyun-Seok Jang","sa3023601",815794
"Jonah Hurney","CIN",0,0,0,5.24623,1,0,0,0,,1.98489,8,2,1,1,0,1,0,0,1,6.41986,3.27678,1.9592,1.4064,0.172713,0.088155,0.08455798774957657,0.267494,1.35966,0.29426,0.63371,,,4.99597,-0.00726622,0.0105302,999,,,,,,,8.488187646865846,4.276401561373718,8.924451112747192,4.496193800221567,,,,,,,,,,,,,,,,,,,"Jonah Hurney","sa3023417",802373
"Kelvis Salcedo","DET",0,0,0,5.79683,1,1,0,0,,4,16,4,3,3,1,2,0,0,2,5.39066,4.15261,1.29814,1.34047,0.14974,0.11535,0.034390032291412354,0.272617,1.41345,0.29264,0.589214,,,5.42799,-0.007293,-0.0524343,999,,,,,,,4.9,1.225,5,1.25,,,,,,,,,,,,,,,,,,,"Kelvis Salcedo","sa3021531",808383
