Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shane Baz","TBR",7,6,9,4.04759,28,19,0,1,,112,469,99,55,50,16,40,,5,109,8.77017,3.20776,2.73405,1.27723,0.231835,0.0847953,0.1470392793416977,0.233244,1.24271,0.277393,0.722079,,,4.21371,1.15402,0.979339,198.6699981689453,,,,,,,461.60000000000025,4.121428571428574,439,3.919642857142857,,,,,,,,,,,,,,,,,,,"Shane Baz","22264",669358
"Félix Bautista","BAL",3,2,0,2.72606,44,0,20,2,,44,179,30,15,13,4,19,,2,62,12.7207,3.85383,3.30079,0.839999,0.3487,0.105641,0.24305839091539383,0.188606,1.10462,0.280373,0.796122,,,2.89492,1.14109,1.0892,64.93000030517578,,,,,,,367.40000000000003,8.350000000000001,337,7.659090909090909,,,,,,,,,,,,,,,,,,,"Felix Bautista","20666",642585
"Casey Mize","DET",5,6,9,4.2586,18,18,0,0,,95,405,96,49,45,12,27,,4,74,7.008,2.54835,2.75001,1.1424,0.183579,0.0667557,0.11682341247797012,0.257439,1.29202,0.292684,0.697915,,,4.16852,1.13934,0.744061,357.7300109863281,,,,,,,360.79999999999995,3.797894736842105,374,3.9368421052631577,,,,,,,,,,,,,,,,,,,"Casey Mize","20492",663554
"Edwin Díaz","NYM",4,2,0,3.08273,47,0,26,1,,47,191,33,17,16,5,18,,3,68,13.0782,3.47943,3.75873,0.905347,0.357773,0.0951845,0.26258834451436996,0.19593,1.09569,0.29462,0.757579,,,2.83659,1.13493,1.06526,43.040000915527344,,,,,,,407.5,8.670212765957446,377,8.02127659574468,,,,,,,,,,,,,,,,,,,"Edwin Diaz","14710",621242
"Jhoan Duran","MIN",4,3,0,2.81675,47,0,19,3,,47,193,38,16,15,3,16,,3,57,10.8535,3.04077,3.56932,0.657725,0.293303,0.0821735,0.21112985908985138,0.216759,1.1432,0.300557,0.771468,,,2.83448,1.13364,1.21758,68.86000061035156,,,,,,,376.1,8.002127659574468,360,7.659574468085107,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Clayton Kershaw","LAD",5,3,7,3.78064,14,14,0,0,,73,304,69,33,31,10,21,,2,66,8.17054,2.55059,3.20339,1.17818,0.217708,0.0679618,0.14974618703126907,0.245784,1.23029,0.289994,0.738947,,,3.94609,1.12832,1.14949,559.469970703125,,,,,,,300.80000000000007,4.12054794520548,298,4.082191780821918,,,,,,,,,,,,,,,,,,,"Clayton Kershaw","2036",477132
"Kyle Freeland","COL",5,9,8,5.04351,21,21,0,0,,120,523,137,73,67,19,32,,4,86,6.46991,2.36709,2.73327,1.42567,0.165341,0.0604919,0.10484901815652847,0.281927,1.40552,0.309932,0.67278,,,4.61516,1.12128,0.951773,724.9400024414062,,,,,,,362.09999999999997,3.0174999999999996,417,3.475,,,,,,,,,,,,,,,,,,,"Kyle Freeland","16256",607536
"Tanner Houck","BOS",5,5,6,4.05882,31,13,0,0,,91,389,89,45,41,9,28,,6,79,7.79206,2.80393,2.77898,0.916391,0.203362,0.0731787,0.13018327951431274,0.249984,1.28147,0.298079,0.694757,,,3.83198,1.10563,0.997006,225.72999572753906,,,,,,,387.29999999999995,4.256043956043955,394,4.329670329670329,,,,,,,,,,,,,,,,,,,"Tanner Houck","19879",656557
"Shane Smith","CHW",5,6,8,4.28509,26,18,0,0,,103,441,96,53,49,13,38,,6,88,7.64063,3.32396,2.29865,1.13973,0.198782,0.0864777,0.11230459064245224,0.242197,1.29938,0.280476,0.696787,,,4.34818,1.09046,0.832825,558.8499755859375,,,,,,,396.70000000000005,3.851456310679612,390,3.7864077669902914,,,,,,,,,,,,,,,,,,,"Shane Smith","31687",681343
"Jeff Hoffman","TOR",3,2,0,2.99903,47,0,22,2,,47,191,36,17,16,5,16,,2,60,11.3728,2.95678,3.84634,0.972674,0.312672,0.0812907,0.23138105869293213,0.208119,1.09188,0.285382,0.775778,,,3.10606,1.08435,1.0382,94.0199966430664,,,,,,,376.70000000000005,8.014893617021277,354,7.531914893617022,,,,,,,,,,,,,,,,,,,"Jeff Hoffman","17432",656546
"Mitchell Parker","WSN",6,7,9,4.35647,29,20,0,0,,115,489,110,60,55,15,42,,3,93,7.3279,3.32782,2.20201,1.14314,0.190769,0.086634,0.10413525253534317,0.248184,1.33039,0.284568,0.697785,,,4.32258,1.08412,0.917746,502.9800109863281,,,,,,,431.5,3.752173913043478,431,3.747826086956522,,,,,,,,,,,,,,,,,,,"Mitchell Parker","27636",680730
