#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
253,Kevin Newman,R,LAA,2B/SS,2B/SS,5/21,10,-10.8,@ATH,JSears(L),66,N(9),3.7,3.4,0.80,0.37,0.04,0.31,0.09,0.18,0.61,0.237,0.279,0.327,0.606,0,621028
254,Nolan Jones,L,CLE,OF,OF,5/21,3,-10.8,@MIN,CPaddack(R),100,Y(8),3.3,2.9,0.62,0.37,0.07,0.34,0.07,0.35,1.06,0.218,0.306,0.359,0.665,12,666134
255,Jhonny Pereda,R,ATH,C,C,5/21,10,-11.3,LAA,JKochanowicz(R),22,N(9),3.1,2.8,0.73,0.39,0.04,0.31,0.02,0.27,0.58,0.259,0.328,0.347,0.675,0,640902
256,Mark Vientos,R,NYM,3B,3B,5/21,6,-11.4,@BOS,GCrochet(L),100,Y(5),4.0,3.7,0.78,0.35,0.12,0.42,0.01,0.27,1.40,0.211,0.267,0.363,0.630,100,668901
257,Enrique Hernandez,R,LAD,1B/2B/ 3B/OF,1B/2B/ SS/3B/OF,5/21,10,-11.6,ARI,CBurnes(R),68,N(8),3.5,3.2,0.71,0.35,0.11,0.34,0.03,0.23,0.78,0.219,0.274,0.365,0.639,1,10472
258,LaMonte Wade Jr.,L,SF,1B,1B/OF,5/21,3,-11.9,KC,DLynch IV(L),100,Y(9),3.4,2.9,0.65,0.42,0.06,0.34,0.01,0.44,0.72,0.226,0.333,0.344,0.677,0,664774
259,Willi Castro,S,MIN,2B/SS/ 3B/OF,2B/SS/ 3B/OF,5/21,3,-12.0,CLE,GWilliams(R),100,Y(7),3.6,3.2,0.68,0.33,0.06,0.32,0.11,0.29,0.93,0.217,0.296,0.337,0.633,70,650489
260,Jose Tena,L,WSH,3B,2B/3B,5/21,6,-12.1,ATL,ASmith-Shawver(R),100,Y(9),3.4,3.1,0.69,0.36,0.07,0.33,0.07,0.23,0.92,0.221,0.277,0.339,0.616,0,677588
261,Nick Sogard,S,BOS,2B,2B,5/21,6,-12.3,NYM,TMegill(R),100,Y(6),3.8,3.3,0.73,0.36,0.04,0.34,0.08,0.45,0.96,0.226,0.324,0.323,0.647,0,686765
262,Cam Smith,R,HOU,3B/OF,3B/OF,5/21,1,-12.6,@TB,TBradley(R),100,Y(7),3.9,3.5,0.77,0.37,0.10,0.35,0.02,0.31,1.15,0.217,0.286,0.350,0.636,57,701358
