Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Corbin Burnes","ARI",8.33446,6.35407,9.24045,4.15028,21,21,0,0,,121.611,510.12,113.881,59.93,56.08,14.5494,38.2338,0.303122,4.59817,105.292,7.79228,2.82955,2.7539,1.07675,0.206406,0.0749506,0.13145557045936584,0.243706,1.25083,0.28589,0.699718,,,3.98786,1.92503,1.43677,37.04999923706055,,,,,,,502.9000000000002,4.122131147540985,496,4.065573770491803,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Nathan Eovaldi","TEX",8.37502,6.31018,9.14858,4.04989,21,21,0,0,,121.359,504.31,109.703,58.36,54.61,16.8754,35.7592,0.249307,4.69668,120.462,8.93351,2.65191,3.36871,1.25148,0.238866,0.0709072,0.16795851290225983,0.236503,1.19861,0.284296,0.714909,,,3.9301,1.90213,1.58216,203.2899932861328,,,,,,,517.3000000000001,4.2752066115702485,501,4.140495867768595,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Reese Olson","DET",6.64103,6.48282,7.73571,3.99007,19,19,0,0,,106.78,448.75,99.3562,51.05,47.34,11.6788,35.0496,0.242705,4.13036,98.1656,8.27393,2.95417,2.80076,0.984351,0.218754,0.078105,0.14064855128526688,0.242587,1.25872,0.292526,0.706073,,,3.79151,1.88951,1.42942,246.61000061035156,,,,,,,465.80000000000007,4.353271028037383,458,4.280373831775701,,,,,,,,,,,,,,,,,,,"Reese Olson","24968",681857
"Cristopher Sánchez","PHI",7.28511,6.71646,4.94075,3.82246,26,20,0,0.4452,,99.9252,418.46,96.7711,45.97,42.44,9.87484,28.928,0.365081,3.59185,92.5593,8.33658,2.60547,3.19964,0.889401,0.22119,0.0691297,0.15206070244312286,0.250741,1.25793,0.306506,0.712667,,,3.516,1.8673,1.4536,144.05999755859375,,,,,,,451.8,4.518,457,4.57,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Luis Castillo","SEA",8.54732,7.83051,10.9269,4.24987,23,23,0,0,,137.609,576.82,127.505,69.93,64.98,19.8381,43.0002,0.421224,4.7556,121.212,7.92762,2.81233,2.81888,1.29747,0.210139,0.074547,0.13559206575155258,0.241002,1.23906,0.277483,0.704645,,,4.26111,1.86055,1.4059,100.88999938964844,,,,,,,540.4000000000001,3.915942028985508,528,3.8260869565217392,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Tanner Bibee","CLE",7.55712,7.42098,10.0363,4.24001,21,21,0,0,,126.021,528.91,118.089,63.83,59.37,17.6002,37.866,0.251099,4.79478,110.26,7.8744,2.70426,2.91184,1.25695,0.208466,0.0715925,0.13687382638454437,0.242857,1.23753,0.28039,0.701558,,,4.18885,1.82542,1.27477,88.16000366210938,,,,,,,495.2000000000001,3.930158730158731,487,3.865079365079365,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Tyler Glasnow","LAD",7.2531,4.43968,6.98229,3.98959,17,17,0,0,,95.897,396.36,82.3338,45.55,42.51,13.5103,31.1615,0.191808,2.41525,109.103,10.2394,2.92453,3.50122,1.26795,0.275263,0.0786193,0.19664416462183,0.226951,1.18351,0.286562,0.718383,,,3.71402,1.77614,1.25698,91.72000122070312,,,,,,,444.00000000000006,4.625000000000001,417,4.34375,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Kodai Senga","NYM",7.90273,6.24703,9.22946,4.2,20,20,0,0,,118.2,503.41,101.612,59.09,55.16,15.5177,52.6559,0.291087,4.5534,124.314,9.46557,4.00933,2.36088,1.18155,0.246945,0.104598,0.14234629273414612,0.227727,1.30514,0.281015,0.71809,,,4.1628,1.77162,1.2898,155.4199981689453,,,,,,,485.2000000000001,4.111864406779662,456,3.864406779661017,,,,,,,,,,,,,,,,,,,"Kodai Senga","31838",673540
"Kevin Gausman","TOR",8.62764,8.363,11.5676,4.69977,24,24,0,0,,143.088,608.11,140.612,80.06,74.72,22.7243,45.5946,0.337738,3.31215,135.829,8.54341,2.86782,2.97906,1.42932,0.223362,0.0749775,0.14838476479053497,0.25145,1.30134,0.29424,0.68751,,,4.29899,1.76138,0.7121,166.66000366210938,,,,,,,533.7,3.7321678321678324,541,3.7832167832167833,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Nick Pivetta","SDP",7.64956,7.53,9.24183,4.36997,22,22,0,0,,124.168,519.8,111.952,64.52,60.29,21.1048,39.0897,0.385441,4.07056,132.158,9.57913,2.83332,3.38089,1.52973,0.254248,0.0752015,0.17904624342918396,0.234879,1.21643,0.280934,0.712144,,,4.23126,1.7554,1.04993,173.72000122070312,,,,,,,503.09999999999997,4.0572580645161285,482,3.8870967741935485,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
